製程,廠內機台編碼號,打點Cell別,打點機台別,IP地址
CNC7,3614,2,1,10.132.58.134
CNC7,305,2,2,10.132.58.135
CNC7,307,2,3,10.132.58.136
CNC7,678,2,4,10.132.58.137
CNC7,618,2,5,10.132.58.138
CNC7,619,2,6,10.132.58.139
CNC7,676,2,7,10.132.58.140
CNC7,675,2,8,10.132.58.141
CNC7,677,2,9,10.132.58.142
CNC7,674,2,10,10.132.58.143
CNC7,673,2,11,10.132.58.144
CNC7,1291,2,22,10.132.58.123
CNC7,1290,2,21,10.132.58.124
CNC7,1289,2,20,10.132.58.125
CNC7,1288,2,19,10.132.58.126
CNC7,RA430,2,18,10.132.58.127
CNC7,178,2,17,10.132.58.128
CNC7,212,2,16,10.132.58.129
CNC7,RA508,2,15,10.132.58.130
CNC7,2123,2,14,10.132.58.131
CNC7,283,2,13,10.132.58.132
CNC7,3602,2,12,10.132.58.133
CNC8,829,2,1,10.132.58.101
CNC8,624,2,2,10.132.58.102
CNC8,627,2,3,10.132.58.103
CNC8,626,2,4,10.132.58.104
CNC8,2633,2,5,10.132.58.105
CNC8,1881,2,6,10.132.58.106
CNC8,831,2,7,10.132.58.107
CNC8,RA924,2,8,10.132.58.108
CNC8,1880,2,9,10.132.58.109
CNC8,RA928,2,10,10.132.58.110
CNC8,RA007,2,11,10.132.58.111
CNC8,830,2,22,10.132.58.112
CNC8,197,2,21,10.132.58.113
CNC8,2555,2,20,10.132.58.114
CNC8,827,2,19,10.132.58.115
CNC8,RA473,2,18,10.132.58.116
CNC8,826,2,17,10.132.58.117
CNC8,198,2,16,10.132.58.118
CNC8,1392,2,15,10.132.58.119
CNC8,RA377,2,14,10.132.58.120
CNC8,RD53,2,13,10.132.58.121
CNC8,RD66,2,12,10.132.58.122
