製程,廠內機台編碼號,打點Cell別,打點機台別,IP地址
CNC3,4444,16,22,10.132.42.123
CNC3,4445,16,21,10.132.42.124
CNC3,4446,16,20,10.132.42.125
CNC3,4447,16,19,10.132.42.126
CNC3,4448,16,18,10.132.42.127
CNC3,4449,16,17,10.132.42.128
CNC3,4450,16,16,10.132.42.129
CNC3,4451,16,15,10.132.42.130
CNC3,4452,16,14,10.132.42.131
CNC3,4453,16,13,10.132.42.132
CNC3,4454,16,12,10.132.42.133
CNC3,4455,16,1,10.132.42.134
CNC3,4456,16,2,10.132.42.135
CNC3,4457,16,3,10.132.42.136
CNC3,4458,16,4,10.132.42.137
CNC3,4459,16,5,10.132.42.138
CNC3,4460,16,6,10.132.42.139
CNC3,4461,16,7,10.132.42.140
CNC3,4462,16,8,10.132.42.141
CNC3,4463,16,9,10.132.42.142
CNC3,4464,16,10,10.132.42.143
CNC3,4465,16,11,10.132.42.144
CNC4,RA178,3,22,10.132.42.101
CNC4,RA188,3,21,10.132.42.102
CNC4,3210,3,20,10.132.42.103
CNC4,1705,3,19,10.132.42.104
CNC4,2962,3,18,10.132.42.105
CNC4,310,3,17,10.132.42.106
CNC4,309,3,16,10.132.42.107
CNC4,2715,3,15,10.132.42.108
CNC4,RA446,3,14,10.132.42.109
CNC4,1994,3,13,10.132.42.110
CNC4,2754,3,12,10.132.42.111
CNC4,2953,3,1,10.132.42.112
CNC4,2960,3,2,10.132.42.113
CNC4,2961,3,3,10.132.42.114
CNC4,2963,3,4,10.132.42.115
CNC4,2959,3,5,10.132.42.116
CNC4,2952,3,6,10.132.42.117
CNC4,380,3,7,10.132.42.118
CNC4,429,3,8,10.132.42.119
CNC4,382,3,9,10.132.42.120
CNC4,98,3,10,10.132.42.121
CNC4,224,3,11,10.132.42.122
