機種,製程,机台号,打點Cell別,打點機台別,機群分類碼,班別,技術員代碼,作業員代碼
Flash,CNC3, D11,4,1,JQ01,A,SJ05,OP01
Flash,CNC3, D12,4,2,JQ01,A,SJ05,OP01
Flash,CNC3, D13,4,3,JQ01,A,SJ05,OP01
Flash,CNC3, D14,4,4,JQ01,A,SJ05,OP01
Flash,CNC3, D15,4,16,JQ01,A,SJ05,OP01
Flash,CNC3, D16,4,17,JQ01,A,SJ05,OP01
Flash,CNC3, D17,4,18,JQ01,A,SJ05,OP01
Flash,CNC3, D18,4,19,JQ01,A,SJ05,OP01
Flash,CNC3, D19,4,20,JQ01,A,SJ05,OP01
Flash,CNC4, D20,4,8,JQ01,A,SJ05,OP01
Flash,CNC4, D21,4,9,JQ01,A,SJ05,OP01
Flash,CNC4, D22,4,4,JQ01,A,SJ05,OP01
Flash,CNC3, D33,4,21,JQ02,A,SJ05,OP02
Flash,CNC3, D34,4,22,JQ02,A,SJ05,OP02
Flash,CNC3, D35,4,23,JQ02,A,SJ05,OP02
Flash,CNC3, D36,4,24,JQ02,A,SJ05,OP02
Flash,CNC3, D37,4,25,JQ02,A,SJ05,OP02
Flash,CNC3, D38,4,26,JQ02,A,SJ05,OP02
Flash,CNC3, D39,4,27,JQ02,A,SJ05,OP02
Flash,CNC3, D40,4,28,JQ02,A,SJ05,OP02
Flash,CNC3, D41,4,29,JQ02,A,SJ05,OP02
Flash,CNC4, D42,4,7,JQ02,A,SJ05,OP02
Flash,CNC4, D43,4,6,JQ02,A,SJ05,OP02
Flash,CNC4, D44,4,1,JQ02,A,SJ05,OP02
Flash,CNC3,E01,8,1,JQ01,A,SJ09,OP01
Flash,CNC3,F01,7,1,JQ01,A,SJ08,OP01
Flash,CNC3,H01,5,1,JQ01,A,SJ06,OP01
Flash,CNC3,I01,3,1,JQ01,A,SJ04,OP01
Flash,CNC3,I02,3,2,JQ01,A,SJ04,OP01
Flash,CNC3,I03,3,3,JQ01,A,SJ04,OP01
Flash,CNC3,I04,3,4,JQ01,A,SJ04,OP01
Flash,CNC3,J01,2,1,JQ01,A,SJ03,OP01
Flash,CNC3,J02,2,2,JQ01,A,SJ03,OP01
Flash,CNC3,J03,2,3,JQ01,A,SJ03,OP01
Flash,CNC3,J04,2,4,JQ01,A,SJ03,OP01
Flash,CNC3,K01,1,1,JQ01,A,SJ11,OP01
Flash,CNC3,E02,8,2,JQ01,A,SJ09,OP01
Flash,CNC3,E03,8,3,JQ01,A,SJ09,OP01
Flash,CNC3,E04,8,4,JQ01,A,SJ09,OP01
Flash,CNC3,E05,8,5,JQ01,A,SJ09,OP01
Flash,CNC3,E06,8,6,JQ01,A,SJ09,OP01
